Tac ID,Pri Chan,Sec Chan,Med Chan,Med Div,Mile,Side,Column 08,Address (ArcGIS Geocodable),Cross Street or Landmark,Approximate Bus Stop Location,Bus Side
M20,R4,CWE,2-4,C,22.4,R,,2001 BEACON ST BOSTON,Cleveland Circle at Chestnut Hill,398 Chestnut Hill Ave,R
M21,R5,CWE,2-3,D,22.8,R,,1765 BEACON ST BROOKLINE,Church at Dean Rd,12 Dean Rd,R
H23R,R5,CWE,2-16,D,23.1,R,,1609 BEACON ST BROOKLINE,Tai Chi lot opposite Washington Sq. MBTA,,
H23L,R5,CWE,2-16,D,23.2,L,,1547 BEACON ST BROOKLINE,Before Fairbanks St,,
M22,R5,CWE,2-3,D,23.2,L,,1619 BEACON ST BROOKLINE,At Washington by T stop w/benches,720 Washington St,L
M23,R5,CWE,2-3,D,23.9,R,,1319 BEACON ST BROOKLINE,"Bank of America at Harvard St, SE corner",258 Harvard St,R
H24R1,R5,CWE,2-16,D,24.1,R,,1223 BEACON ST BROOKLINE,,,
H24R2,R5,CWE,2-16,D,24.2,R,,1195 BEACON ST BROOKLINE,Marshall St,,
M24,R5,CWE,2-3,D,24.3,R,,1163 BEACON ST BROOKLINE,Temple at Kent St,366 Kent St,R
M25,R5,CWE,2-3,D,24.8,R,,899 BEACON ST BOSTON,Audubon Circle at Park Dr brick island,468 Park Dr,R
H25R,R5,CWE,2-16,D,25.1,R,,712 BEACON ST BOSTON,On Mass Turnpike bridge,,
H25L,R5,CWE,2-16,D,25.2,L,,645 BEACON STREET BOSTON,First traffic light in Kenmore Sq,,
M26,R5,CWE,2-3,D,25.5,L,,430 COMMONWEALTH AVE BOSTON,Under the overpass at Charlesgate West,583 Beacon St,R
